buyer_key,buyer_name,award_count,allocated_value,activity_band,value_band,buyer_segment
ID:GB-CFS-316095,National Highways,36,438770253.61,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-304157,North of England Commercial Procurement Collaborative,5,438000000.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-196703,Ministry of Justice,2,435613044.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-271006,NHS London Procurement Partnership (hosted by Guy's and St Thomas' NHS Foundation Trust),1,431000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-188336,East Riding of Yorkshire Council,91,414841820.59,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-58064,Bristol City Council,74,410332465.71,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-101458,Kent County Council,2,403011911.75,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-308161,Echelon Consultancy Ltd,1,400000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-307698,STAR Procurement C/O Trafford Council,1,400000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-LAE-KIR,Kirklees Council,418,387731020.36,200+ awards,£100M-<£1B,High activity / High value
ID:GB-CFS-186962,Leeds City Council,252,386009990.27,200+ awards,£100M-<£1B,High activity / High value
ID:GB-CFS-321287,NHS London Procurement Partnership (Hosted by Guy's and St Thomas' NHS FT),1,382877289.39,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-273198,DESNZ,52,369722222.06,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-LAE-SOS,Southend-on-sea Borough Council,23,364736485.59,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-107313,Luton Council,87,358091749.76,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-268869,Defra,1,345710030.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-GOR-OT1056,Government Digital Service,26,341708068.59,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-LAE-DER,DERBY CITY COUNCIL,118,334531050.62,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/v2gr32H4,Lancashire County Council,92,328887401.3,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-178372,Dorset Council,8,327012095.83,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/dXGP288m,UK SHARED BUSINESS SERVICES LIMITED,628,321560306.16,200+ awards,£100M-<£1B,High activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/t9Gu6N7M,Post Office,62,318063912.1,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-269720,Ministry of Defence,4,311644708.79,2-9 awards,£100M-<£1B,Lower activity / High value
