supplier_key,canonical_supplier_name,allocated_award_value,award_count,buyer_count,supplier_id_count,supplier_identity_flags,identity_review_flags,supplier_rank,value_share,cumulative_value_share,value_band
SUP_ID:GB-COH-08325675,Route 101 Limited,267015892.0,3,3,1,confirmed_id,no_name_conflict,101,0.0008480694935887,0.6043554789247311,£100M–<£1B
SUP_ID:GB-CFS-322411,LTE Group (trading as Novus),255000000.0,4,4,1,confirmed_id,no_name_conflict,102,0.0008099058046519,0.605165384729383,£100M–<£1B
SUP_ID:GB-COH-01238274,Liberata UK Limited,253944444.44444445,3,3,1,confirmed_id,no_name_conflict,103,0.0008065532533908,0.6059719379827738,£100M–<£1B
SUP_ID:GB-CFS-320458,Eco-Waters Ltd,250000000.0,1,1,1,confirmed_id,no_name_conflict,104,0.0007940252986783,0.6067659632814522,£100M–<£1B
SUP_ID:GB-COH-02548628,Phoenix Software Limited,249803145.49657807,105,105,1,id_multiple_names_review,review_name_variation,105,0.0007934000688548,0.607559363350307,£100M–<£1B
SUP_ID:GB-COH-08568559,Netcompany UK Limited,246062660.34,3,3,1,id_multiple_names_review,review_name_variation,106,0.0007815199094802,0.6083408832597873,£100M–<£1B
SUP_ID:GB-CFS-327312,Kier Construction Limited,245680004.75,1,1,1,confirmed_id,no_name_conflict,107,0.0007803045566037,0.609121187816391,£100M–<£1B
SUP_ID:GB-COH-008686273,Thales UK Ltd,245434247.0,1,1,1,confirmed_id,no_name_conflict,108,0.0007795240051203,0.6099007118215113,£100M–<£1B
SUP_ID:GB-CFS-306536,Kier Construction,242708757.14,1,1,1,confirmed_id,no_name_conflict,109,0.0007708675735197,0.610671579395031,£100M–<£1B
SUP_ID:GB-COH-5059906,TDX GROUP LIMITED,240000000.0,1,1,1,confirmed_id,no_name_conflict,110,0.0007622642867312,0.6114338436817622,£100M–<£1B
SUP_ID:GB-CFS-323495,Bovis Construction (Europe) Ltd,237500000.0,1,1,1,confirmed_id,no_name_conflict,111,0.0007543240337444,0.6121881677155067,£100M–<£1B
SUP_ID:GB-COH-02172239,Total Energies Gas and Power Limited,224147819.98,12,12,1,id_multiple_names_review,review_name_variation,112,0.0007119161588309,0.6129000838743376,£100M–<£1B
SUP_ID:GB-CFS-321667,Galliford Try Construction Limited,219972198.05,2,2,1,confirmed_id,no_name_conflict,113,0.0006986539610303,0.613598737835368,£100M–<£1B
SUP_ID:GB-CFS-68265,M & J Group (Construction & Roofing) Ltd,214919822.6451613,3,3,1,confirmed_id,no_name_conflict,114,0.0006826071054709,0.614281344940839,£100M–<£1B
SUP_ID:GB-COH-03333860,G4S FACILITIES MANAGEMENT (UK) LIMITED,210000000.0,2,2,1,confirmed_id,no_name_conflict,115,0.0006669812508898,0.6149483261917288,£100M–<£1B
SUP_ID:GB-CFS-308981,COLAS RAIL LIMITED,206910125.2,1,1,1,confirmed_id,no_name_conflict,116,0.000657167495846,0.6156054936875749,£100M–<£1B
SUP_ID:GB-CFS-164745,Veolia Environmental Services,205000000.0,1,1,1,confirmed_id,no_name_conflict,117,0.0006511007449162,0.6162565944324911,£100M–<£1B
SUP_ID:GB-CFS-64163,VINCI CONSTRUCTION UK LTD.,200000000.0,3,3,1,confirmed_id,no_name_conflict,118,0.0006352202389427,0.6168918146714338,£100M–<£1B
SUP_ID:GB-CFS-284266,ENTERPRISE RENT-A-CAR UK LIMITED,200000000.0,1,1,1,confirmed_id,no_name_conflict,119,0.0006352202389427,0.6175270349103765,£100M–<£1B
SUP_ID:GB-CHC-1190095,Leisure Focus,200000000.0,1,1,1,confirmed_id,no_name_conflict,120,0.0006352202389427,0.6181622551493192,£100M–<£1B
SUP_ID:GB-CFS-325830,Biffa Waste Services Ltd,200000000.0,1,1,1,confirmed_id,no_name_conflict,121,0.0006352202389427,0.6187974753882619,£100M–<£1B
SUP_ID:GB-CFS-318636,Northgate Vehicle Hire Limited,200000000.0,1,1,1,confirmed_id,no_name_conflict,122,0.0006352202389427,0.6194326956272046,£100M–<£1B
SUP_ID:GB-COH-05280446,NHS SHARED BUSINESS SERVICES LIMITED,197386294.44444445,2,2,1,confirmed_id,no_name_conflict,123,0.000626918845605,0.6200596144728097,£100M–<£1B
SUP_ID:GB-COH-00768173,Willmott Dixon Construction Ltd,196356137.65,14,14,1,id_multiple_names_review,review_name_variation,124,0.0006236469633795,0.6206832614361891,£100M–<£1B
