buyer_key,long_duration_awards,long_duration_value,maximum_duration_years,buyer_name,award_count,allocated_award_value,long_duration_value_share_percent
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/ZDXR269t,1,7750000.0,12.0,Devon & Somerset Fire & Rescue Service,19,10964156.61,70.68487140115741
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/2JAv6sFy,5,7416911.0,15.0,Staffordshire County Council,104,53394187.8,13.89085836043001
ID:GB-LAE-ROT,1,7146561.0,10.0,Rotherham Metropolitan Borough Council,36,27154777.98,26.317876748112525
ID:GB-CFS-282491,1,6400100.0,10.0,Lincolnshire Police,9,6629670.35,96.53722828013612
ID:GB-CFS-228944,1,6100000.0,10.0,London Ambulance Service,7,7914970.1,77.06914774068446
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/Z37KdXES,1,5800000.0,18.0,SUFFOLK COUNTY COUNCIL,82,84334233.67999999,6.877396932315376
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/mQxY293c,3,5680885.5,17.0,"Police, Fire and Crime Commissioner for Northamptonshire",44,26658808.62,21.30960006869204
ID:GB-CFS-49530,1,5568323.0,10.0,London Borough of Southwark,14,29505538.68,18.872127909240398
ID:GB-CFS-84980,1,5500000.0,10.0,Folkestone and Hythe District Council,15,70622991.12,7.7878321390474685
ID:GB-LAE-DER,1,4900000.0,11.0,DERBY CITY COUNCIL,118,334531050.62,1.4647369776045094
ID:GB-GOR-D115,1,4548750.0,10.0,SERIOUS FRAUD OFFICE,42,18310835.22,24.84184880344306
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/HHz44pYB,1,4000000.0,10.0,THE UNIVERSITY OF BIRMINGHAM,36,22259384.99,17.96994841410486
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/uUVZ36Ar,1,3849010.0,10.0,Lancashire Fire & Rescue Service,3,5101768.0,75.44463017526472
ID:GB-CFS-300143,1,3842410.0,10.0,West Berkshire Council,15,23790724.54,16.150874234786965
ID:GB-CFS-313046,1,3634941.0,15.0,Ministry of Justice,2,3941941.0,92.21195852500075
ID:GB-LAE-KIR,3,3631922.07,10.42,Kirklees Council,418,387731020.36,0.9367117613204736
ID:GB-CFS-309221,1,3500000.0,10.0,United Lincolnshire Teaching Hospitals NHS Trust,4,3666781.2,95.45156389478598
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/9zBK4N6s,3,3442869.76,15.0,COVENTRY CITY COUNCIL,107,42699596.41,8.06300304794848
ID:GB-CFS-51222,2,3438628.24,13.84,Lincolnshire County Council,78,294654195.81,1.1670046749367549
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/RDdH8NGt,1,3410820.0,10.5,Chelmsford City Council,11,10675820.0,31.949021246143158
ID:GB-CFS-305893,1,3211706.0,10.0,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,2,3467663.0,92.61874640067388
ID:GB-CFS-191669,1,3200000.0,15.0,City of York Council,16,8434457.93,37.93960473284381
ID:GB-CFS-309983,1,3000000.0,10.0,University of Greenwich,1,3000000.0,100.0
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/wFhD2sYK,1,2941850.0,10.0,HUMBER TEACHING NHS FOUNDATION TRUST,9,15607292.0,18.84920202684745
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/jxfb36Bw,2,2800000.0,10.37,Southampton City Council,55,142848958.93,1.9601122899132075
ID:GB-CFS-42310,1,2487356.0,10.0,OFCOM,26,10416929.88,23.87801423887477
ID:GB-CFS-50606,1,2390000.0,10.0,YPO,15,1340590000.0,0.1782797126638271
ID:GB-CFS-325937,1,2360929.45,10.0,"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",1,2360929.45,100.0
ID:GB-CFS-224,1,2236000.0,12.04,London Borough of Waltham Forest,1,2236000.0,100.0
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/6sQD8uds,2,2109686.38,15.0,Crown Commercial Service,265,140549054888.93,0.0015010320643331
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/djMX46dB,1,1999002.0,10.0,Tees Valley Combined Authority,50,37950429.66,5.267402814432326
ID:GB-CFS-308555,1,1922400.0,10.0,Westmorland and Furness Council,5,4505145.16,42.67121106481728
ID:GB-CFS-233134,2,1900000.0,10.5,Cheshire west and Chester Borough Council,32,196053000.0,0.9691256956027196
ID:GB-CFS-49729,1,1900000.0,10.0,Humberside Fire & Rescue Service,17,3401820.91,55.85244050957403
ID:GB-CFS-320464,1,1568919.4,12.02,DEPARTMENT FOR ENVIRONMENT FOOD & RURAL AFFAIRS,3,3635414.56,43.15654718618941
ID:GB-CFS-55641,1,1500000.0,15.0,London Borough of Lewisham,5,2876000.0,52.1557719054242
ID:GB-CFS-52200,2,1482000.0,10.0,West Lindsey District Council,17,4507396.44,32.87929117679296
ID:GB-CFS-192422,1,1410000.0,15.0,West Yorkshire Combined Authority,64,95563991.56,1.4754511369637895
ID:GB-CFS-106171,2,1396405.0,15.0,Liverpool City Council,34,5628468.09,24.809681385259484
ID:GB-LAE-SRI,1,1309240.0,10.0,South Ribble Borough Council,27,13120237.23,9.978782982722027
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/jBZs3Y7f,1,1289627.0,12.0,West Midlands Fire Service,59,6346168.63,20.321347811395928
ID:GB-CFS-189872,1,1268810.0,10.0,Barnsley Metropolitan Borough Council,110,93972407.33,1.3501942070552255
ID:GB-CFS-44290,2,1065246.0,10.0,University Of Worcester,35,6482658.56,16.43223980008597
ID:GB-CFS-102547,2,1022000.0,15.0,London Borough of Waltham Forest,4,2684980.0,38.06359823909303
